episode, episode steps, episode reward, loss, mean_absolute_error, mean_q
 110, 38, 38.000, 4.223584, 9.045844, 16.9872
 111, 22, 22.000, 6.806491, 9.436285, 17.3745
 112, 13, 13.000, 10.197704, 9.369766, 16.9346
 113, 9, 9.000, 13.966595, 9.296889, 16.3073
 114, 40, 40.000, 4.451001, 9.267688, 17.3326
 115, 22, 22.000, 5.774914, 8.915163, 16.5389
 116, 16, 16.000, 6.949537, 8.865497, 16.2125
 117, 20, 20.000, 8.058887, 9.587154, 17.5806
 118, 28, 28.000, 4.448441, 9.129225, 17.0908
 119, 24, 24.000, 5.175847, 9.015135, 16.7608
 120, 17, 17.000, 9.912162, 9.966031, 18.1542
 121, 13, 13.000, 11.201741, 9.745738, 17.5578
 122, 19, 19.000, 6.692565, 8.793614, 16.4488
 123, 11, 11.000, 10.017159, 9.045535, 16.5838
 124, 15, 15.000, 5.566377, 8.155498, 15.3910
 125, 10, 10.000, 7.087822, 7.608772, 14.0973
 126, 13, 13.000, 6.580272, 8.151994, 14.7924
 127, 10, 10.000, 8.371676, 7.462347, 13.1426
 128, 24, 24.000, 4.752394, 8.260105, 15.1604
 129, 12, 12.000, 8.987473, 8.599007, 15.2832
 130, 19, 19.000, 4.929512, 7.363917, 13.3353
 131, 54, 54.000, 3.846392, 8.953281, 17.0136
 132, 16, 16.000, 7.205556, 8.780042, 16.0547
 133, 37, 37.000, 3.040665, 8.493805, 16.0556
 134, 23, 23.000, 4.896946, 8.934770, 16.6253
 135, 13, 13.000, 7.776305, 8.793187, 16.0859
 136, 33, 33.000, 3.571844, 8.590029, 16.1628
 137, 38, 38.000, 2.990625, 8.602193, 16.2720
 138, 21, 21.000, 6.303631, 9.489055, 17.6401
 139, 21, 21.000, 5.780928, 9.301776, 17.4734
 140, 42, 42.000, 4.550694, 9.799884, 18.8413
 141, 18, 18.000, 7.869169, 9.498236, 17.5642
 142, 33, 33.000, 5.082826, 10.116406, 19.0896
 143, 28, 28.000, 4.072998, 8.997161, 17.0432
 144, 18, 18.000, 6.957329, 9.572942, 17.9409
 145, 14, 14.000, 8.138362, 9.116995, 16.7407
 146, 37, 37.000, 7.276675, 10.596929, 19.7721
 147, 22, 22.000, 6.707823, 9.943064, 18.7337
 148, 14, 14.000, 9.585371, 9.692100, 18.0210
 149, 21, 21.000, 5.774959, 9.526193, 18.0552
 150, 57, 57.000, 3.298664, 10.030634, 19.1419
 151, 15, 15.000, 8.630546, 9.951829, 18.5483
 152, 14, 14.000, 9.926003, 10.171782, 18.7906
 153, 15, 15.000, 9.510056, 9.896985, 18.1160
 154, 25, 25.000, 6.256787, 9.828942, 18.2540
 155, 37, 37.000, 3.670348, 9.609309, 18.1903
 156, 29, 29.000, 5.533037, 9.810822, 18.4380
 157, 44, 44.000, 3.859308, 10.021898, 19.0394
 158, 25, 25.000, 9.662655, 10.900508, 20.1822
 159, 19, 19.000, 7.254680, 10.253431, 19.1621
 160, 11, 11.000, 14.402993, 10.307297, 18.6098
 161, 32, 32.000, 3.074315, 9.007971, 17.1531
 162, 60, 60.000, 4.962105, 10.423256, 19.8108
 163, 27, 27.000, 6.166281, 10.549830, 20.0107
 164, 19, 19.000, 7.301318, 10.278060, 19.2613
 165, 24, 24.000, 9.250514, 10.945860, 20.3161
 166, 11, 11.000, 13.207865, 10.522887, 19.2039
 167, 64, 64.000, 2.488188, 10.158240, 19.4665
 168, 13, 13.000, 16.408262, 11.002942, 19.8863
 169, 16, 16.000, 11.469543, 11.062606, 20.4344
 170, 13, 13.000, 11.233980, 10.275191, 18.7194
 171, 21, 21.000, 6.913374, 10.220895, 19.3442
 172, 38, 38.000, 4.539991, 10.314885, 19.5245
 173, 52, 52.000, 4.399804, 10.882760, 20.9236
 174, 35, 35.000, 6.401538, 10.848373, 20.5137
 175, 9, 9.000, 15.146261, 10.810083, 19.4182
 176, 23, 23.000, 6.569116, 10.458669, 19.6040
 177, 53, 53.000, 4.103939, 10.705370, 20.4715
 178, 21, 21.000, 7.773239, 11.297621, 21.3034
 179, 23, 23.000, 6.526524, 10.707233, 20.0615
 180, 38, 38.000, 5.961532, 11.750078, 22.4113
 181, 32, 32.000, 5.949431, 11.139109, 21.0300
 182, 35, 35.000, 7.934447, 11.820316, 22.4364
 183, 21, 21.000, 8.078343, 10.948134, 20.4186
 184, 21, 21.000, 6.319400, 10.848357, 20.3435
 185, 60, 60.000, 3.238905, 11.395191, 21.7891
 186, 14, 14.000, 16.434987, 11.921155, 22.1364
 187, 24, 24.000, 7.378927, 11.254005, 20.8480
 188, 29, 29.000, 9.243029, 11.689309, 22.0564
 189, 28, 28.000, 6.752675, 11.161650, 20.8212
 190, 24, 24.000, 9.354690, 11.028364, 20.5301
 191, 19, 19.000, 10.271051, 11.108931, 20.8845
 192, 12, 12.000, 13.613678, 10.837849, 20.0270
 193, 11, 11.000, 13.447240, 10.378517, 18.9586
 194, 12, 12.000, 9.243366, 9.829017, 18.0721
 195, 17, 17.000, 7.517388, 9.980736, 18.0899
 196, 43, 43.000, 3.474013, 9.182764, 17.3300
 197, 43, 43.000, 3.867548, 10.066898, 19.1191
 198, 16, 16.000, 6.934474, 9.480577, 17.8726
 199, 10, 10.000, 11.820911, 9.988375, 18.1866
 200, 26, 26.000, 7.933203, 10.102282, 18.6585
 201, 38, 38.000, 3.060918, 9.829425, 18.7314
 202, 15, 15.000, 6.808873, 9.733778, 18.1419
 203, 23, 23.000, 4.097800, 9.866369, 18.5854
 204, 18, 18.000, 5.523496, 9.898183, 18.2145
 205, 45, 45.000, 4.485105, 9.893716, 18.7804
 206, 73, 73.000, 4.579830, 11.210487, 21.5571
 207, 79, 79.000, 3.845616, 11.806496, 22.8026
 208, 45, 45.000, 7.586606, 13.151596, 25.2398
 209, 16, 16.000, 16.390223, 13.377180, 25.0302
 210, 25, 25.000, 10.601359, 12.455715, 23.7771
 211, 28, 28.000, 8.346882, 12.247519, 23.4483
 212, 29, 29.000, 6.080991, 12.024243, 22.9886
 213, 41, 41.000, 6.688483, 12.089910, 23.1380
 214, 24, 24.000, 8.660860, 11.908966, 22.3344
 215, 26, 26.000, 6.380792, 11.868915, 22.4626
 216, 34, 34.000, 4.907342, 12.030740, 23.2406
 217, 23, 23.000, 7.772258, 11.762282, 21.8693
 218, 110, 110.000, 3.963657, 12.799450, 24.7794
 219, 21, 21.000, 15.896070, 13.900569, 26.2186
 220, 30, 30.000, 9.530269, 13.056473, 25.2228
 221, 27, 27.000, 8.713241, 13.078865, 25.0279
 222, 75, 75.000, 5.023845, 13.107590, 25.4829
 223, 24, 24.000, 11.272414, 13.269508, 25.2504
 224, 34, 34.000, 7.629195, 13.316415, 25.5058
 225, 30, 30.000, 9.288909, 13.155439, 24.8483
 226, 94, 94.000, 3.839509, 12.911227, 25.1305
 227, 52, 52.000, 8.070400, 14.718506, 28.1155
 228, 35, 35.000, 8.344136, 14.476487, 27.8771
 229, 20, 20.000, 17.772566, 14.201776, 26.4109
 230, 34, 34.000, 7.815434, 13.963032, 26.8496
 231, 96, 96.000, 4.275634, 14.628136, 28.4128
 232, 26, 26.000, 13.754470, 14.980363, 28.2955
 233, 50, 50.000, 7.864478, 14.935667, 28.9832
 234, 47, 47.000, 6.804948, 14.298474, 27.8645
 235, 36, 36.000, 9.413532, 14.496548, 27.7592
 236, 44, 44.000, 7.187080, 14.354919, 27.8440
 237, 14, 14.000, 22.056462, 14.191265, 26.8548
 238, 24, 24.000, 9.465510, 13.952819, 26.7421
 239, 29, 29.000, 8.524599, 13.069809, 24.9889
 240, 41, 41.000, 7.239532, 13.876779, 26.6741
 241, 77, 77.000, 5.138805, 13.170481, 25.6545
 242, 42, 42.000, 9.128573, 14.997439, 28.7288
 243, 34, 34.000, 8.219800, 14.970519, 28.5896
 244, 88, 88.000, 5.455659, 13.914614, 27.2253
 245, 38, 38.000, 8.261470, 15.795210, 30.3480
 246, 112, 112.000, 6.694429, 14.991267, 29.4184
 247, 157, 157.000, 6.000914, 18.091205, 35.5488
 248, 34, 34.000, 15.830687, 18.751788, 35.9386
 249, 133, 133.000, 6.460854, 19.775642, 38.9431
 250, 26, 26.000, 21.004972, 18.907808, 35.4153
 251, 75, 75.000, 8.772578, 17.901452, 34.7411
 252, 14, 14.000, 33.763839, 18.848993, 35.1119
 253, 10, 10.000, 37.733409, 18.278784, 33.2513
 254, 11, 11.000, 27.710157, 17.083847, 30.7514
 255, 16, 16.000, 19.508273, 16.326584, 29.7066
 256, 79, 79.000, 6.512031, 16.973488, 33.0703
 257, 22, 22.000, 17.895246, 16.883202, 32.3816
 258, 16, 16.000, 20.954494, 15.202741, 29.0451
 259, 60, 60.000, 4.644210, 13.192521, 25.9037
 260, 79, 79.000, 4.633128, 14.213024, 27.9371
 261, 108, 108.000, 3.796402, 14.909238, 29.3990
 262, 125, 125.000, 4.463585, 16.719555, 32.9288
 263, 40, 40.000, 12.024947, 19.116711, 37.1998
 264, 101, 101.000, 5.137657, 19.280882, 37.8381
 265, 304, 304.000, 7.410807, 24.262890, 48.1234
 266, 36, 36.000, 34.685778, 26.007588, 49.3412
 267, 16, 16.000, 46.510831, 22.967254, 42.4119
 268, 70, 70.000, 7.940228, 21.195882, 41.9121
 269, 34, 34.000, 15.835978, 20.598529, 40.2325
 270, 161, 161.000, 3.382684, 19.870894, 39.4963
 271, 133, 133.000, 6.370655, 21.287755, 42.1610
 272, 198, 198.000, 4.610339, 22.684382, 44.9772
 273, 28, 28.000, 41.750006, 27.339334, 51.9051
 274, 159, 159.000, 5.370888, 22.152643, 44.0472
 275, 283, 283.000, 4.209606, 25.491224, 50.8046
 276, 99, 99.000, 7.522884, 22.911209, 45.4175
 277, 180, 180.000, 5.298725, 26.725714, 53.3063
 278, 35, 35.000, 35.384023, 30.931122, 60.0160
 279, 71, 71.000, 24.669048, 28.368313, 55.3160
 280, 25, 25.000, 51.301211, 28.682052, 54.6238
 281, 150, 150.000, 4.861125, 22.810947, 45.3251
 282, 192, 192.000, 7.130194, 27.341834, 54.1442
 283, 104, 104.000, 6.339668, 20.377591, 40.0421
 284, 28, 28.000, 58.553781, 28.519016, 54.4318
 285, 140, 140.000, 8.990305, 26.571360, 52.3543
 286, 224, 224.000, 2.839023, 24.419195, 48.6753
 287, 162, 162.000, 9.656522, 27.470052, 54.4750
 288, 13, 13.000, 85.891771, 28.971596, 54.5400
 289, 13, 13.000, 55.189323, 24.395836, 46.3739
 290, 16, 16.000, 41.461151, 20.959124, 38.7463
 291, 83, 83.000, 13.541077, 20.174694, 38.4230
 292, 16, 16.000, 62.191471, 24.732947, 46.3952
 293, 10, 10.000, 77.057846, 24.129725, 43.9549
 294, 140, 140.000, 20.612148, 28.010856, 55.2869
 295, 169, 169.000, 7.109954, 20.426777, 40.2994
 296, 176, 176.000, 13.652960, 27.668565, 54.8044
 297, 349, 349.000, 1.784935, 23.196175, 46.3728
 298, 321, 321.000, 3.614032, 27.159380, 54.2483
 299, 198, 198.000, 5.800153, 27.106838, 53.9895
 300, 171, 171.000, 7.957836, 27.901768, 55.5868
 301, 173, 173.000, 8.767390, 29.449563, 58.6406
 302, 396, 396.000, 5.327407, 33.766460, 67.4741
 303, 16, 16.000, 127.317019, 37.885096, 70.0661
 304, 127, 127.000, 4.157730, 25.397474, 50.5276
 305, 97, 97.000, 5.219965, 22.258147, 44.4918
 306, 117, 117.000, 3.000854, 23.138746, 46.1186
 307, 19, 19.000, 85.379845, 33.170465, 63.5716
 308, 14, 14.000, 82.309233, 29.534781, 55.7847
 309, 274, 274.000, 3.445793, 22.267957, 44.3173
 310, 234, 234.000, 5.231896, 25.786630, 51.3973
 311, 368, 368.000, 6.659344, 31.556742, 62.8837
 312, 59, 59.000, 41.108480, 33.625111, 64.9401
 313, 91, 91.000, 39.218723, 37.669088, 74.3679
 314, 12, 12.000, 130.662524, 34.117417, 62.8407
 315, 15, 15.000, 82.685306, 31.281390, 58.1670
 316, 14, 14.000, 96.557300, 29.315043, 53.2286
 317, 459, 459.000, 3.442564, 26.365226, 52.7381
 318, 135, 135.000, 7.289306, 25.418954, 50.6809
 319, 143, 143.000, 5.540647, 25.819747, 51.6760
 320, 136, 136.000, 6.631186, 25.334384, 50.6998
 321, 19, 19.000, 80.654219, 31.737675, 61.1039
 322, 111, 111.000, 9.067487, 23.805746, 47.1679
 323, 268, 268.000, 3.800612, 25.671048, 51.3431
 324, 203, 203.000, 5.429200, 28.333355, 56.6783
 325, 221, 221.000, 3.616990, 30.306441, 60.6169
 326, 116, 116.000, 4.371313, 26.426461, 52.9420
 327, 148, 148.000, 2.910673, 27.560878, 55.2020
 328, 121, 121.000, 2.463847, 25.648991, 51.2841
 329, 124, 124.000, 5.993528, 24.303884, 48.4143
 330, 166, 166.000, 2.375558, 26.122391, 52.3074
 331, 117, 117.000, 1.662098, 24.275615, 48.7014
 332, 117, 117.000, 1.241507, 24.124635, 48.4154
 333, 106, 106.000, 0.909235, 22.686248, 45.5674
 334, 112, 112.000, 0.554956, 21.463090, 43.0804
 335, 106, 106.000, 1.673599, 20.759078, 41.5117
 336, 118, 118.000, 0.462717, 21.457509, 43.1519
 337, 143, 143.000, 0.465530, 22.457430, 45.0654
 338, 125, 125.000, 0.505222, 22.364036, 44.9399
 339, 127, 127.000, 0.565568, 23.432382, 47.0491
 340, 64, 64.000, 20.869780, 33.703181, 66.7577
 341, 254, 254.000, 4.557832, 28.623053, 57.0327
 342, 18, 18.000, 124.422411, 35.605295, 65.6203
 343, 78, 78.000, 12.861885, 30.124598, 59.4901
 344, 171, 171.000, 2.711716, 24.107831, 48.2159
 345, 135, 135.000, 0.486012, 20.453268, 41.2348
 346, 158, 158.000, 0.406832, 20.552660, 41.3539
 347, 219, 219.000, 1.341185, 23.299952, 46.5679
 348, 211, 211.000, 0.975015, 26.019670, 52.1227
 349, 240, 240.000, 3.315380, 29.001612, 57.9502
 350, 458, 458.000, 9.022722, 39.413638, 78.5972
 351, 18, 18.000, 135.849855, 42.082933, 78.2953
 352, 36, 36.000, 84.929625, 38.105098, 72.6598
 353, 9, 9.000, 325.437313, 41.216710, 75.0473
 354, 9, 9.000, 247.121970, 36.880803, 67.8044
 355, 12, 12.000, 130.668938, 31.580763, 59.4452
 356, 13, 13.000, 97.412608, 28.845128, 53.9627
 357, 13, 13.000, 98.258586, 28.255119, 52.2670
 358, 12, 12.000, 82.856890, 25.862456, 47.8936
 359, 11, 11.000, 75.595760, 24.642997, 45.4887
 360, 15, 15.000, 48.693496, 22.976022, 43.0280
 361, 12, 12.000, 58.378815, 22.522094, 41.2817
 362, 14, 14.000, 44.065942, 21.860084, 40.1152
 363, 12, 12.000, 49.330063, 22.054032, 40.0952
 364, 12, 12.000, 42.399244, 20.902168, 37.8517
 365, 19, 19.000, 41.271052, 20.835320, 38.3416
 366, 17, 17.000, 31.750298, 20.172330, 36.8767
 367, 16, 16.000, 39.273483, 20.555045, 37.4075
 368, 15, 15.000, 32.617651, 18.383617, 33.6367
 369, 24, 24.000, 29.779845, 20.368772, 37.3715
 370, 102, 102.000, 16.775047, 26.377403, 51.4485
 371, 41, 41.000, 2.392325, 12.863519, 24.8689
 372, 96, 96.000, 0.824555, 9.077445, 17.9080
 373, 196, 196.000, 0.657805, 12.142919, 24.2703
 374, 205, 205.000, 0.425138, 14.521887, 29.2112
 375, 163, 163.000, 1.504956, 20.257023, 40.6666
 376, 149, 149.000, 0.385657, 16.734633, 33.6990
 377, 165, 165.000, 0.575666, 19.006023, 38.2209
 378, 164, 164.000, 0.664092, 21.036724, 42.1976
 379, 131, 131.000, 0.636535, 20.618747, 41.3385
 380, 154, 154.000, 0.970793, 22.678010, 45.6025
 381, 124, 124.000, 0.488433, 21.554149, 43.3140
 382, 112, 112.000, 0.360281, 20.365046, 41.0629
 383, 110, 110.000, 0.662738, 20.869898, 41.9172
 384, 103, 103.000, 2.130593, 24.677295, 49.5284
 385, 104, 104.000, 0.373143, 19.591682, 39.4627
 386, 136, 136.000, 0.459149, 20.807672, 41.7287
 387, 130, 130.000, 0.393319, 21.348416, 42.9229
 388, 139, 139.000, 0.569642, 23.019677, 46.2310
 389, 122, 122.000, 0.330096, 20.793521, 41.7860
 390, 117, 117.000, 0.415380, 20.503759, 41.2905
 391, 141, 141.000, 0.720381, 22.509756, 45.1642
 392, 121, 121.000, 0.389595, 21.650504, 43.5744
 393, 141, 141.000, 0.556162, 22.491100, 45.1115
 394, 167, 167.000, 3.089063, 23.655902, 47.2341
 395, 237, 237.000, 4.697004, 28.131422, 56.1562
 396, 232, 232.000, 3.542736, 28.852666, 57.6510
 397, 292, 292.000, 2.083598, 30.362684, 60.7739
 398, 244, 244.000, 3.378861, 31.276090, 62.5577
