episode, episode steps, episode reward, loss, mean_absolute_error, mean_q
 110, 210, 210.000, 3.390662, 44.427502, 89.9060
 111, 234, 234.000, 2.608956, 44.679241, 90.3085
 112, 229, 229.000, 2.354201, 44.681957, 90.3916
 113, 204, 204.000, 2.931126, 44.941570, 90.8675
 114, 235, 235.000, 2.444113, 45.364918, 91.5901
 115, 360, 360.000, 2.692386, 45.087444, 90.9579
 116, 216, 216.000, 2.490793, 45.426067, 91.4958
 117, 235, 235.000, 3.081079, 45.566971, 91.7654
 118, 213, 213.000, 3.681045, 45.486149, 91.5662
 119, 164, 164.000, 1.385629, 45.104851, 90.9690
 120, 205, 205.000, 1.900458, 45.247631, 91.2076
 121, 169, 169.000, 1.489807, 45.413845, 91.3629
 122, 217, 217.000, 1.358151, 45.379417, 91.3792
 123, 184, 184.000, 5.335725, 45.093563, 90.6148
 124, 225, 225.000, 4.802876, 45.379887, 91.2154
 125, 195, 195.000, 2.007382, 45.230629, 90.9133
 126, 175, 175.000, 3.185939, 45.219765, 90.9599
 127, 222, 222.000, 1.553778, 45.016495, 90.5607
 128, 246, 246.000, 2.332985, 45.046364, 90.5930
 129, 273, 273.000, 2.709118, 45.151894, 90.9123
 130, 203, 203.000, 3.285883, 45.356449, 91.1265
 131, 185, 185.000, 1.755030, 45.038651, 90.3460
 132, 214, 214.000, 3.737114, 45.317913, 90.9448
 133, 310, 310.000, 2.249883, 45.060452, 90.4585
 134, 202, 202.000, 2.726345, 45.013641, 90.1877
 135, 231, 231.000, 2.492333, 44.687222, 89.6257
 136, 372, 372.000, 2.315422, 45.113110, 90.6326
 137, 324, 324.000, 2.300390, 44.535957, 89.5047
 138, 223, 223.000, 1.617930, 44.954788, 90.3140
 139, 287, 287.000, 2.977593, 44.788467, 89.7888
 140, 181, 181.000, 2.007977, 45.019764, 90.4230
 141, 230, 230.000, 2.309556, 44.681877, 89.5387
 142, 207, 207.000, 2.954352, 44.777966, 89.8436
 143, 183, 183.000, 3.583566, 44.794003, 89.6535
 144, 211, 211.000, 2.419414, 44.684433, 89.4492
 145, 219, 219.000, 1.930351, 44.382248, 88.7587
 146, 169, 169.000, 1.578348, 43.945091, 88.0196
 147, 181, 181.000, 2.042490, 43.899338, 87.9532
 148, 194, 194.000, 2.159837, 44.009563, 88.1336
 149, 237, 237.000, 1.435434, 43.756073, 87.3621
 150, 153, 153.000, 1.810513, 43.852592, 87.7591
 151, 210, 210.000, 1.619101, 43.514008, 86.9481
 152, 193, 193.000, 0.925916, 43.681824, 87.3475
 153, 197, 197.000, 1.475338, 43.275600, 86.5493
 154, 270, 270.000, 1.997354, 43.407421, 86.7168
 155, 204, 204.000, 1.957462, 43.358269, 86.6562
 156, 160, 160.000, 1.833076, 43.273949, 86.3855
 157, 210, 210.000, 3.360636, 43.055195, 85.6971
 158, 220, 220.000, 1.125285, 42.778461, 85.4406
 159, 230, 230.000, 1.355696, 42.799152, 85.4481
 160, 249, 249.000, 1.808795, 42.669357, 85.1869
 161, 183, 183.000, 1.969200, 42.943989, 85.6151
