episode, episode steps, episode reward, loss, mean_absolute_error, mean_q
 110, 301, 301.000, 2.527836, 47.440929, 95.7115
 111, 259, 259.000, 3.152692, 47.336575, 95.3650
 112, 430, 430.000, 2.839331, 47.575485, 95.9864
 113, 208, 208.000, 2.459828, 48.071918, 97.0557
 114, 262, 262.000, 3.192906, 47.603374, 96.0248
 115, 286, 286.000, 2.050190, 47.906723, 96.7255
 116, 224, 224.000, 2.988705, 47.596966, 96.0041
 117, 289, 289.000, 2.585763, 48.257706, 97.3027
 118, 315, 315.000, 2.640891, 48.657112, 98.0531
 119, 231, 231.000, 2.070857, 48.677986, 98.1639
 120, 282, 282.000, 2.623894, 48.881668, 98.5848
 121, 286, 286.000, 3.342406, 48.620525, 97.9220
 122, 204, 204.000, 2.688132, 48.945251, 98.6334
 123, 224, 224.000, 3.009390, 48.901875, 98.6717
 124, 245, 245.000, 3.226999, 48.781155, 98.3395
 125, 246, 246.000, 3.461905, 49.501652, 99.6847
 126, 223, 223.000, 2.905991, 49.150742, 99.0236
 127, 346, 346.000, 2.836584, 48.978447, 98.7123
 128, 236, 236.000, 3.027142, 49.238438, 99.3016
 129, 233, 233.000, 2.537298, 49.201485, 99.1235
 130, 208, 208.000, 2.414416, 49.487167, 99.7491
 131, 359, 359.000, 3.268449, 49.263088, 99.2111
 132, 220, 220.000, 2.685675, 49.486393, 99.7107
 133, 230, 230.000, 3.042479, 49.186329, 99.0136
 134, 355, 355.000, 2.996777, 49.724457, 100.231
 135, 405, 405.000, 3.611172, 49.621410, 100.023
 136, 274, 274.000, 2.285308, 49.587143, 100.081
 137, 305, 305.000, 3.641432, 49.698032, 100.142
 138, 321, 321.000, 3.212594, 50.048172, 100.801
 139, 263, 263.000, 3.056973, 49.837101, 100.400
 140, 224, 224.000, 2.826450, 49.665504, 100.115
 141, 258, 258.000, 3.276107, 50.201393, 101.054
 142, 219, 219.000, 4.042814, 50.377323, 101.471
 143, 207, 207.000, 2.059538, 50.118057, 101.021
 144, 299, 299.000, 3.007793, 49.628384, 100.072
 145, 245, 245.000, 2.332101, 50.193329, 101.130
 146, 217, 217.000, 3.077052, 49.330662, 99.4351
 147, 239, 239.000, 2.730754, 49.997211, 100.771
 148, 219, 219.000, 2.646991, 50.181007, 101.089
 149, 293, 293.000, 3.136711, 49.799049, 100.266
 150, 238, 238.000, 2.870753, 49.597641, 100.035
 151, 264, 264.000, 3.529980, 49.936428, 100.606
 152, 263, 263.000, 3.067802, 50.029850, 100.759
 153, 261, 261.000, 2.664972, 49.480747, 99.7198
 154, 246, 246.000, 2.344900, 49.867393, 100.548
 155, 245, 245.000, 2.700966, 49.774731, 100.267
 156, 385, 385.000, 2.691336, 49.405266, 99.4705
 157, 258, 258.000, 3.167597, 49.512257, 99.6679
 158, 292, 292.000, 3.005404, 49.564632, 99.7180
 159, 274, 274.000, 3.273933, 49.629803, 99.9273
 160, 443, 443.000, 3.022830, 49.428417, 99.5485
 161, 230, 230.000, 2.092982, 49.316906, 99.4287
 162, 216, 216.000, 2.346784, 49.113174, 99.0191
 163, 283, 283.000, 2.673792, 49.336643, 99.4387
 164, 231, 231.000, 2.875353, 49.352982, 99.4120
 165, 335, 335.000, 2.520817, 49.363102, 99.4802
 166, 253, 253.000, 2.927912, 49.123676, 98.9386
 167, 292, 292.000, 2.244925, 49.138664, 99.0420
 168, 292, 292.000, 2.394269, 49.353291, 99.3470
 169, 282, 282.000, 2.657443, 49.023201, 98.7025
 170, 264, 264.000, 2.343424, 48.883121, 98.3624
 171, 290, 290.000, 3.086406, 49.213902, 99.0327
 172, 229, 229.000, 2.812930, 49.172302, 99.0052
 173, 343, 343.000, 2.038178, 48.336708, 97.3512
 174, 294, 294.000, 2.217366, 48.904152, 98.4814
 175, 267, 267.000, 2.425623, 48.630405, 97.9813
 176, 257, 257.000, 2.435965, 48.915382, 98.3984
 177, 260, 260.000, 1.980496, 48.538536, 97.7560
 178, 260, 260.000, 1.650505, 48.552151, 97.7402
 179, 241, 241.000, 1.906489, 48.642269, 97.9425
 180, 329, 329.000, 2.098560, 48.222332, 97.0285
 181, 335, 335.000, 1.815305, 48.436714, 97.4366
 182, 445, 445.000, 3.154366, 48.445190, 97.3599
 183, 389, 389.000, 1.987747, 48.312359, 97.2492
 184, 339, 339.000, 1.781579, 48.052925, 96.7265
 185, 242, 242.000, 1.980987, 48.134354, 96.8913
 186, 287, 287.000, 2.162835, 47.518360, 95.6161
 187, 314, 314.000, 1.868937, 47.884041, 96.3913
 188, 263, 263.000, 2.046490, 47.883259, 96.3988
 189, 247, 247.000, 1.944203, 48.059921, 96.6561
 190, 288, 288.000, 2.155506, 48.026165, 96.5591
 191, 325, 325.000, 1.333537, 47.617878, 95.8116
 192, 420, 420.000, 1.540098, 48.107544, 96.7278
 193, 336, 336.000, 1.592259, 47.517776, 95.5179
 194, 284, 284.000, 1.462054, 47.803684, 96.0544
 195, 408, 408.000, 1.623854, 47.707672, 95.9366
 196, 321, 321.000, 1.319257, 47.606861, 95.7705
 197, 361, 361.000, 2.011116, 47.350956, 95.2031
 198, 306, 306.000, 1.260025, 47.351204, 95.2787
 199, 284, 284.000, 2.597933, 47.093967, 94.6004
 200, 344, 344.000, 2.099523, 46.920616, 94.3294
 201, 336, 336.000, 2.298967, 47.179169, 94.7989
 202, 318, 318.000, 1.753959, 46.971577, 94.4162
 203, 412, 412.000, 1.837437, 46.690647, 93.9180
 204, 382, 382.000, 1.607076, 46.796219, 94.0900
 205, 451, 451.000, 2.142886, 46.900898, 94.3256
 206, 271, 271.000, 1.765902, 46.480183, 93.5009
 207, 422, 422.000, 1.478169, 46.604275, 93.7224
 208, 313, 313.000, 1.318926, 46.489990, 93.5471
 209, 343, 343.000, 1.063287, 46.423088, 93.3829
 210, 500, 500.000, 1.274049, 46.570122, 93.6806
 211, 500, 500.000, 1.101146, 46.607311, 93.6564
 212, 500, 500.000, 1.203750, 46.974464, 94.2783
 213, 418, 418.000, 1.355174, 46.697861, 93.7247
 214, 410, 410.000, 2.382211, 46.784107, 93.8554
 215, 500, 500.000, 1.845368, 46.287579, 92.8778
 216, 500, 500.000, 2.643433, 46.639584, 93.5147
